scenario,seed,method,mc_revenue,analytical_R
3,6,random_valid,73727.6491,54756.7807
3,6,perimeter_only,73967.3636,55294.4831
3,6,popularity_rank,74165.5919,54850.2028
3,6,greedy_swap,74187.3400,54944.5434
3,6,oracle,74100.1542,55757.8726
3,6,random_search,74824.3374,54982.4922
3,6,simulated_annealing,74966.1583,55168.6328
3,6,GA,75104.6348,54722.7047
3,7,random_valid,74317.4341,54756.7807
3,7,perimeter_only,74221.2250,55294.4831
3,7,popularity_rank,74182.4097,54850.2028
3,7,greedy_swap,74204.3485,54944.5434
3,7,oracle,74778.5513,55757.8726
3,7,random_search,74794.2617,55270.5797
3,7,simulated_annealing,75112.3648,55226.7877
3,7,GA,75054.2972,54744.3904
3,8,random_valid,74186.8084,54756.7807
3,8,perimeter_only,74065.2317,55294.4831
3,8,popularity_rank,74071.4369,54850.2028
3,8,greedy_swap,74093.1908,54944.5434
3,8,oracle,74077.3326,55757.8726
3,8,random_search,74749.5999,55204.5046
3,8,simulated_annealing,75057.6955,55004.3680
3,8,GA,74818.9708,54652.6440
3,9,random_valid,74154.1017,54756.7807
3,9,perimeter_only,73670.4166,55294.4831
3,9,popularity_rank,73952.4335,54850.2028
3,9,greedy_swap,73917.2494,54944.5434
3,9,oracle,74730.3228,55757.8726
3,9,random_search,74732.1357,54823.3085
3,9,simulated_annealing,74691.8155,54864.3277
3,9,GA,75172.2810,54592.8588
4,0,random_valid,103007.5585,95854.3056
4,0,perimeter_only,101913.4853,95278.6455
4,0,popularity_rank,102411.0483,94930.7696
4,0,greedy_swap,102349.9179,95625.9620
4,0,oracle,102280.8121,97149.2854
4,0,random_search,103058.7068,95293.0051
4,0,simulated_annealing,103126.8766,94467.3147
4,0,GA,103656.4713,95931.5747
4,1,random_valid,103665.7538,95854.3056
4,1,perimeter_only,102240.5927,95278.6455
4,1,popularity_rank,103235.9201,94930.7696
4,1,greedy_swap,103249.9587,95625.9620
4,1,oracle,103174.4281,97149.2854
4,1,random_search,104311.5066,95896.7733
4,1,simulated_annealing,103527.0641,94855.5546
4,1,GA,104306.7547,96129.7205
4,2,random_valid,103854.2943,95854.3056
4,2,perimeter_only,102392.6355,95278.6455
4,2,popularity_rank,102297.6312,94930.7696
4,2,greedy_swap,102729.6856,95625.9620
4,2,oracle,102567.8510,97149.2854
4,2,random_search,104059.9708,95361.7054
4,2,simulated_annealing,103343.2873,94855.4579
4,2,GA,104425.0397,95802.4548
