scenario,search,setting,seed,heldout_fitness
3,ga,0.3|45|15,0,74883.253355
3,ga,0.3|45|15,1,74909.075389
3,ga,0.3|45|15,2,74796.558569
3,sa,0.1|0.001|0.8,0,74713.575933
3,sa,0.1|0.001|0.8,1,74734.826940
3,sa,0.1|0.001|0.8,2,74733.809452
3,sa,0.1|0.01|0.8,0,74671.629850
3,sa,0.1|0.01|0.8,1,74688.626023
3,sa,0.1|0.01|0.8,2,74736.802902
3,sa,0.1|0.1|0.8,0,74579.329096
3,sa,0.1|0.1|0.8,1,74724.252315
3,sa,0.1|0.1|0.8,2,74637.929076
3,sa,0.25|0.001|0.8,0,74798.006517
3,sa,0.25|0.001|0.8,1,74584.203729
3,sa,0.25|0.001|0.8,2,74824.139519
3,sa,0.25|0.01|0.5,0,74755.434168
3,sa,0.25|0.01|0.5,1,74813.102851
3,sa,0.25|0.01|0.5,2,74757.229439
3,sa,0.25|0.01|0.8,0,74793.880201
3,sa,0.25|0.01|0.8,1,74819.153823
3,sa,0.25|0.01|0.8,2,74728.494064
3,sa,0.25|0.01|0.95,0,74667.202379
3,sa,0.25|0.01|0.95,1,74802.394392
3,sa,0.25|0.01|0.95,2,74892.422715
3,sa,0.25|0.1|0.8,0,74653.712581
3,sa,0.25|0.1|0.8,1,74738.622054
3,sa,0.25|0.1|0.8,2,74689.438735
3,sa,0.5|0.001|0.8,0,74949.447308
3,sa,0.5|0.001|0.8,1,74925.046786
3,sa,0.5|0.001|0.8,2,74956.510123
3,sa,0.5|0.01|0.8,0,74938.919713
3,sa,0.5|0.01|0.8,1,74944.714894
3,sa,0.5|0.01|0.8,2,74960.161701
3,sa,0.5|0.1|0.8,0,74947.678854
3,sa,0.5|0.1|0.8,1,74910.374176
3,sa,0.5|0.1|0.8,2,74868.486916
4,ga,0.18|20|40,0,69428.635137
4,ga,0.18|20|40,1,69378.333543
4,ga,0.18|20|40,2,69397.425783
4,ga,0.18|30|25,0,69397.239598
4,ga,0.18|30|25,1,69361.001599
4,ga,0.18|30|25,2,69257.153678
4,ga,0.18|45|15,0,69338.825480
4,ga,0.18|45|15,1,69339.876228
4,ga,0.18|45|15,2,69370.121238
4,ga,0.1|20|40,0,69387.241452
4,ga,0.1|20|40,1,69381.595636
4,ga,0.1|20|40,2,69379.157050
4,ga,0.1|30|25,0,69312.271520
4,ga,0.1|30|25,1,69364.524036
4,ga,0.1|30|25,2,69410.887659
4,ga,0.1|45|15,0,69245.700400
4,ga,0.1|45|15,1,69330.114679
4,ga,0.1|45|15,2,69420.281603
4,ga,0.3|20|40,0,69365.565855
4,ga,0.3|20|40,1,69397.063727
4,ga,0.3|20|40,2,69334.745265
4,ga,0.3|30|25,0,69368.822124
4,ga,0.3|30|25,1,69323.881733
4,ga,0.3|30|25,2,69363.982362
4,ga,0.3|45|15,0,69308.876488
4,ga,0.3|45|15,1,69311.814768
4,ga,0.3|45|15,2,69406.907804
4,sa,0.1|0.001|0.8,0,69379.924483
4,sa,0.1|0.001|0.8,1,69344.924944
4,sa,0.1|0.001|0.8,2,69387.500042
4,sa,0.1|0.01|0.8,0,69377.942405
4,sa,0.1|0.01|0.8,1,69351.493363
4,sa,0.1|0.01|0.8,2,69344.082825
4,sa,0.1|0.1|0.8,0,69331.585868
4,sa,0.1|0.1|0.8,1,69304.873264
4,sa,0.1|0.1|0.8,2,69353.664334
4,sa,0.25|0.001|0.8,0,69432.074620
4,sa,0.25|0.001|0.8,1,69411.314977
4,sa,0.25|0.001|0.8,2,69380.627073
4,sa,0.25|0.01|0.5,0,69416.529476
4,sa,0.25|0.01|0.5,1,69400.552752
4,sa,0.25|0.01|0.5,2,69434.748967
4,sa,0.25|0.01|0.8,0,69383.350861
4,sa,0.25|0.01|0.8,1,69369.467687
4,sa,0.25|0.01|0.8,2,69427.252355
4,sa,0.25|0.01|0.95,0,69332.834708
4,sa,0.25|0.01|0.95,1,69289.486572
4,sa,0.25|0.01|0.95,2,69344.732321
4,sa,0.25|0.1|0.8,0,69370.365510
4,sa,0.25|0.1|0.8,1,69321.667854
4,sa,0.25|0.1|0.8,2,69313.659525
4,sa,0.5|0.001|0.8,0,69510.248709
4,sa,0.5|0.001|0.8,1,69554.555623
4,sa,0.5|0.001|0.8,2,69452.865794
4,sa,0.5|0.01|0.8,0,69507.711410
4,sa,0.5|0.01|0.8,1,69442.386113
4,sa,0.5|0.01|0.8,2,69510.864383
4,sa,0.5|0.1|0.8,0,69502.002576
4,sa,0.5|0.1|0.8,1,69441.585882
4,sa,0.5|0.1|0.8,2,69474.722586
5,ga,0.18|20|40,0,39202.269624
5,ga,0.18|20|40,1,39200.489416
5,ga,0.18|20|40,2,39215.530794
5,ga,0.18|30|25,0,39201.729550
5,ga,0.18|30|25,1,39202.800981
5,ga,0.18|30|25,2,39174.303647
5,ga,0.18|45|15,0,39180.583846
5,ga,0.18|45|15,1,39158.646939
5,ga,0.18|45|15,2,39158.246984
5,ga,0.1|20|40,0,39204.767642
5,ga,0.1|20|40,1,39214.314567
5,ga,0.1|20|40,2,39191.814492
5,ga,0.1|30|25,0,39169.002573
5,ga,0.1|30|25,1,39175.621502
5,ga,0.1|30|25,2,39213.037172
5,ga,0.1|45|15,0,39174.834119
5,ga,0.1|45|15,1,39175.669857
5,ga,0.1|45|15,2,39202.123663
5,ga,0.3|20|40,0,39190.261673
5,ga,0.3|20|40,1,39194.095969
5,ga,0.3|20|40,2,39192.551299
5,ga,0.3|30|25,0,39169.808054
5,ga,0.3|30|25,1,39185.075734
5,ga,0.3|30|25,2,39203.470629
5,ga,0.3|45|15,0,39148.725353
5,ga,0.3|45|15,1,39164.029129
5,ga,0.3|45|15,2,39176.057102
5,sa,0.1|0.001|0.8,0,39184.800541
5,sa,0.1|0.001|0.8,1,39206.110150
5,sa,0.1|0.001|0.8,2,39200.315480
5,sa,0.1|0.01|0.8,0,39182.771638
5,sa,0.1|0.01|0.8,1,39194.956534
5,sa,0.1|0.01|0.8,2,39187.633849
5,sa,0.1|0.1|0.8,0,39176.464630
5,sa,0.1|0.1|0.8,1,39191.386359
5,sa,0.1|0.1|0.8,2,39151.086379
5,sa,0.25|0.001|0.8,0,39210.230800
5,sa,0.25|0.001|0.8,1,39211.703985
5,sa,0.25|0.001|0.8,2,39208.919279
5,sa,0.25|0.01|0.5,0,39217.260417
5,sa,0.25|0.01|0.5,1,39217.479208
5,sa,0.25|0.01|0.5,2,39212.879293
5,sa,0.25|0.01|0.8,0,39204.260243
5,sa,0.25|0.01|0.8,1,39200.219179
5,sa,0.25|0.01|0.8,2,39200.046194
5,sa,0.25|0.01|0.95,0,39208.818826
5,sa,0.25|0.01|0.95,1,39195.741276
5,sa,0.25|0.01|0.95,2,39138.362254
5,sa,0.25|0.1|0.8,0,39173.738169
5,sa,0.25|0.1|0.8,1,39191.237401
5,sa,0.25|0.1|0.8,2,39180.369986
5,sa,0.5|0.001|0.8,0,39207.337084
5,sa,0.5|0.001|0.8,1,39212.911709
5,sa,0.5|0.001|0.8,2,39224.513547
5,sa,0.5|0.01|0.8,0,39207.049397
5,sa,0.5|0.01|0.8,1,39199.225246
5,sa,0.5|0.01|0.8,2,39220.173584
5,sa,0.5|0.1|0.8,0,39169.490266
5,sa,0.5|0.1|0.8,1,39186.214969
5,sa,0.5|0.1|0.8,2,39200.365893
6,ga,0.18|20|40,0,49232.288969
6,ga,0.18|20|40,1,49439.409493
6,ga,0.18|20|40,2,49460.880963
6,ga,0.18|30|25,0,49452.767264
6,ga,0.18|30|25,1,49470.444768
6,ga,0.18|30|25,2,49450.711246
6,ga,0.18|45|15,0,49414.716900
6,ga,0.18|45|15,1,49421.604712
6,ga,0.18|45|15,2,49424.734196
6,ga,0.1|20|40,0,49456.926276
6,ga,0.1|20|40,1,49433.316410
6,ga,0.1|20|40,2,49435.130118
6,ga,0.1|30|25,0,49456.793661
6,ga,0.1|30|25,1,49425.556315
6,ga,0.1|30|25,2,49434.481880
6,ga,0.1|45|15,0,49413.003278
6,ga,0.1|45|15,1,49390.166844
6,ga,0.1|45|15,2,49371.908919
6,ga,0.3|20|40,0,49193.645833
6,ga,0.3|20|40,1,49453.224353
6,ga,0.3|20|40,2,49436.492026
6,ga,0.3|30|25,0,49473.829134
6,ga,0.3|30|25,1,49439.025758
6,ga,0.3|30|25,2,49410.550899
6,ga,0.3|45|15,0,49430.857757
6,ga,0.3|45|15,1,49417.435856
6,ga,0.3|45|15,2,49382.815701
6,sa,0.1|0.001|0.8,0,49227.079690
6,sa,0.1|0.001|0.8,1,49246.731108
6,sa,0.1|0.001|0.8,2,49213.373980
6,sa,0.1|0.01|0.8,0,49218.812408
6,sa,0.1|0.01|0.8,1,49245.970021
6,sa,0.1|0.01|0.8,2,49204.579423
6,sa,0.1|0.1|0.8,0,49192.814704
6,sa,0.1|0.1|0.8,1,49232.114167
6,sa,0.1|0.1|0.8,2,49161.060682
6,sa,0.25|0.001|0.8,0,49219.529464
6,sa,0.25|0.001|0.8,1,49231.727004
6,sa,0.25|0.001|0.8,2,49235.411348
6,sa,0.25|0.01|0.5,0,49228.171019
6,sa,0.25|0.01|0.5,1,49236.674858
6,sa,0.25|0.01|0.5,2,49220.009906
6,sa,0.25|0.01|0.8,0,49217.857946
6,sa,0.25|0.01|0.8,1,49269.977521
6,sa,0.25|0.01|0.8,2,49237.988729
6,sa,0.25|0.01|0.95,0,49220.136895
6,sa,0.25|0.01|0.95,1,49189.775117
6,sa,0.25|0.01|0.95,2,49200.028213
6,sa,0.25|0.1|0.8,0,49196.483658
6,sa,0.25|0.1|0.8,1,49228.451419
6,sa,0.25|0.1|0.8,2,49406.702304
6,sa,0.5|0.001|0.8,0,49457.764164
6,sa,0.5|0.001|0.8,1,49450.049336
6,sa,0.5|0.001|0.8,2,49445.291200
6,sa,0.5|0.01|0.8,0,49449.886106
6,sa,0.5|0.01|0.8,1,49460.730924
6,sa,0.5|0.01|0.8,2,49427.396861
6,sa,0.5|0.1|0.8,0,49443.795900
6,sa,0.5|0.1|0.8,1,49449.827576
6,sa,0.5|0.1|0.8,2,49449.596365
7,ga,0.18|20|40,0,41699.804704
7,ga,0.18|20|40,1,41683.195091
7,ga,0.18|20|40,2,41708.530089
7,ga,0.18|30|25,0,41692.311569
7,ga,0.18|30|25,1,41678.880345
7,ga,0.18|30|25,2,41688.281945
7,ga,0.18|45|15,0,41651.046202
7,ga,0.18|45|15,1,41673.108316
7,ga,0.18|45|15,2,41676.175119
7,ga,0.1|20|40,0,41695.186656
7,ga,0.1|20|40,1,41688.517667
7,ga,0.1|20|40,2,41691.221961
7,ga,0.1|30|25,0,41691.266403
7,ga,0.1|30|25,1,41695.242947
7,ga,0.1|30|25,2,41683.234391
7,ga,0.1|45|15,0,41666.356430
7,ga,0.1|45|15,1,41644.204900
7,ga,0.1|45|15,2,41681.202275
7,ga,0.3|20|40,0,41710.353970
7,ga,0.3|20|40,1,41685.873494
7,ga,0.3|20|40,2,41702.233135
7,ga,0.3|30|25,0,41682.438130
7,ga,0.3|30|25,1,41685.757764
7,ga,0.3|30|25,2,41661.569525
7,ga,0.3|45|15,0,41660.906105
7,ga,0.3|45|15,1,41657.778421
7,ga,0.3|45|15,2,41672.082775
7,sa,0.1|0.001|0.8,0,41703.878164
7,sa,0.1|0.001|0.8,1,41696.449531
7,sa,0.1|0.001|0.8,2,41717.568156
7,sa,0.1|0.01|0.8,0,41705.687545
7,sa,0.1|0.01|0.8,1,41687.558029
7,sa,0.1|0.01|0.8,2,41675.881659
7,sa,0.1|0.1|0.8,0,41703.738776
7,sa,0.1|0.1|0.8,1,41685.802106
7,sa,0.1|0.1|0.8,2,41664.868145
7,sa,0.25|0.001|0.8,0,41713.318355
7,sa,0.25|0.001|0.8,1,41696.863043
7,sa,0.25|0.001|0.8,2,41706.137529
7,sa,0.25|0.01|0.5,0,41714.477957
7,sa,0.25|0.01|0.5,1,41696.006623
7,sa,0.25|0.01|0.5,2,41716.990566
7,sa,0.25|0.01|0.8,0,41705.059675
7,sa,0.25|0.01|0.8,1,41705.018443
7,sa,0.25|0.01|0.8,2,41681.508893
7,sa,0.25|0.01|0.95,0,41673.125067
7,sa,0.25|0.01|0.95,1,41678.184720
7,sa,0.25|0.01|0.95,2,41670.004132
7,sa,0.25|0.1|0.8,0,41692.661868
7,sa,0.25|0.1|0.8,1,41659.192620
7,sa,0.25|0.1|0.8,2,41659.656208
7,sa,0.5|0.001|0.8,0,41711.141001
7,sa,0.5|0.001|0.8,1,41704.660593
7,sa,0.5|0.001|0.8,2,41689.283178
7,sa,0.5|0.01|0.8,0,41697.924345
7,sa,0.5|0.01|0.8,1,41711.552521
7,sa,0.5|0.01|0.8,2,41698.485054
7,sa,0.5|0.1|0.8,0,41686.897224
7,sa,0.5|0.1|0.8,1,41658.352864
7,sa,0.5|0.1|0.8,2,41637.268825
8,ga,0.18|20|40,0,83022.081190
8,ga,0.18|20|40,1,83047.857333
8,ga,0.18|20|40,2,82951.893924
