multiplier,search_seed,layout,replicate,mc_seed,revenue,cf_revenue
1,0,sa_k,4,1000004,785605.8118,786339.1969
1,0,sa_k,5,1000005,784956.4306,786339.1969
1,0,sa_k,6,1000006,786236.3263,786339.1969
1,0,sa_k,7,1000007,786155.8999,786339.1969
1,0,sa_k,8,1000008,788127.5400,786339.1969
1,0,sa_k,9,1000009,787904.8477,786339.1969
1,0,sa_k,10,1000010,787116.3577,786339.1969
1,0,sa_k,11,1000011,787253.6858,786339.1969
1,0,sa_k,12,1000012,783693.0319,786339.1969
1,0,sa_k,13,1000013,788214.5988,786339.1969
1,0,sa_k,14,1000014,785405.2284,786339.1969
1,0,sa_k,15,1000015,784166.1986,786339.1969
1,0,sa_k,16,1000016,785816.0289,786339.1969
1,0,sa_k,17,1000017,788376.5586,786339.1969
1,0,sa_k,18,1000018,787485.4257,786339.1969
1,0,sa_k,19,1000019,786868.1173,786339.1969
1,0,sa_k,20,1000020,787339.8346,786339.1969
1,0,sa_k,21,1000021,786736.9604,786339.1969
1,0,sa_k,22,1000022,787804.6471,786339.1969
1,0,sa_k,23,1000023,784433.0906,786339.1969
1,0,sa_k,24,1000024,785133.9473,786339.1969
1,0,sa_k,25,1000025,784461.7414,786339.1969
1,0,sa_k,26,1000026,785182.0980,786339.1969
1,0,sa_k,27,1000027,786936.0830,786339.1969
1,0,sa_k,28,1000028,787767.4617,786339.1969
1,0,sa_k,29,1000029,784945.1123,786339.1969
1,1,baseline,0,1000000,770561.2124,769612.7303
1,1,baseline,1,1000001,770380.0688,769612.7303
1,1,baseline,2,1000002,769530.2398,769612.7303
1,1,baseline,3,1000003,767274.1975,769612.7303
1,1,baseline,4,1000004,768885.9518,769612.7303
1,1,baseline,5,1000005,768225.7046,769612.7303
1,1,baseline,6,1000006,769513.9886,769612.7303
1,1,baseline,7,1000007,769425.5480,769612.7303
1,1,baseline,8,1000008,771405.8040,769612.7303
1,1,baseline,9,1000009,771196.5840,769612.7303
1,1,baseline,10,1000010,770346.8677,769612.7303
1,1,baseline,11,1000011,770497.9889,769612.7303
1,1,baseline,12,1000012,767038.1578,769612.7303
1,1,baseline,13,1000013,771448.0260,769612.7303
1,1,baseline,14,1000014,768706.2961,769612.7303
