scenario,seed,draw,comparator,w_traffic,w_cross_merch,w_impulse,w_flow,w_revenue_placement,lift30,lift30_default
0,0,28,oracle,0.02160496089034633,0.13179001114835753,0.1463832130810667,0.11801602766041666,0.3822057872198128,968.4383800077485,860.9329597388423
0,0,28,random_search,0.02160496089034633,0.13179001114835753,0.1463832130810667,0.11801602766041666,0.3822057872198128,814.194028026337,567.8438448710949
0,0,28,simulated_annealing,0.02160496089034633,0.13179001114835753,0.1463832130810667,0.11801602766041666,0.3822057872198128,-172.7637476861928,-72.47424987416889
0,0,29,popularity_rank,0.3962575200882229,0.17679151489656608,0.09823899161478875,0.046475354327944356,0.08223661907247799,1044.9819982400659,919.475754478939
0,0,29,oracle,0.3962575200882229,0.17679151489656608,0.09823899161478875,0.046475354327944356,0.08223661907247799,920.5274813701108,860.9329597388423
0,0,29,random_search,0.3962575200882229,0.17679151489656608,0.09823899161478875,0.046475354327944356,0.08223661907247799,527.5696831725945,567.8438448710949
0,0,29,simulated_annealing,0.3962575200882229,0.17679151489656608,0.09823899161478875,0.046475354327944356,0.08223661907247799,-27.84420779055654,-72.47424987416889
0,0,30,popularity_rank,0.30170552930367356,0.30041824515826937,0.15616196471955446,0.01708132609483778,0.024632934723664714,838.6291047840932,919.475754478939
0,0,30,oracle,0.30170552930367356,0.30041824515826937,0.15616196471955446,0.01708132609483778,0.024632934723664714,763.8195564916678,860.9329597388423
0,0,30,random_search,0.30170552930367356,0.30041824515826937,0.15616196471955446,0.01708132609483778,0.024632934723664714,332.46885967159324,567.8438448710949
0,0,30,simulated_annealing,0.30170552930367356,0.30041824515826937,0.15616196471955446,0.01708132609483778,0.024632934723664714,17.644828856544336,-72.47424987416889
0,0,31,popularity_rank,0.3067831673279564,0.052707873249260455,0.27381787618891157,0.11151430529769116,0.05517677793618038,1003.7769269086348,919.475754478939
0,0,31,oracle,0.3067831673279564,0.052707873249260455,0.27381787618891157,0.11151430529769116,0.05517677793618038,934.0910032492466,860.9329597388423
0,0,31,random_search,0.3067831673279564,0.052707873249260455,0.27381787618891157,0.11151430529769116,0.05517677793618038,507.37991332858655,567.8438448710949
0,0,31,simulated_annealing,0.3067831673279564,0.052707873249260455,0.27381787618891157,0.11151430529769116,0.05517677793618038,-35.02122010848689,-72.47424987416889
0,0,32,popularity_rank,0.046551125520463255,0.31863221301632527,0.2800646139108495,0.0644147928167272,0.09033725473563475,699.0484890265507,919.475754478939
0,0,32,oracle,0.046551125520463255,0.31863221301632527,0.2800646139108495,0.0644147928167272,0.09033725473563475,673.8829513445817,860.9329597388423
0,0,32,random_search,0.046551125520463255,0.31863221301632527,0.2800646139108495,0.0644147928167272,0.09033725473563475,302.20978287932667,567.8438448710949
0,0,32,simulated_annealing,0.046551125520463255,0.31863221301632527,0.2800646139108495,0.0644147928167272,0.09033725473563475,-10.959083593341347,-72.47424987416889
0,0,33,popularity_rank,0.08826120656722153,0.038634335605702966,0.4826629211191338,0.1330698545491726,0.0573716821587691,853.2553521655209,919.475754478939
0,0,33,oracle,0.08826120656722153,0.038634335605702966,0.4826629211191338,0.1330698545491726,0.0573716821587691,843.2372711567368,860.9329597388423
0,0,33,random_search,0.08826120656722153,0.038634335605702966,0.4826629211191338,0.1330698545491726,0.0573716821587691,401.4850294782809,567.8438448710949
0,0,33,simulated_annealing,0.08826120656722153,0.038634335605702966,0.4826629211191338,0.1330698545491726,0.0573716821587691,-36.54387326667347,-72.47424987416889
0,0,34,popularity_rank,0.4468243183422022,0.09825298828907997,0.041455440510648055,0.06344212900323042,0.15002512385483935,1207.4269845598974,919.475754478939
0,0,34,oracle,0.4468243183422022,0.09825298828907997,0.041455440510648055,0.06344212900323042,0.15002512385483935,1036.6331461912341,860.9329597388423
0,0,34,random_search,0.4468243183422022,0.09825298828907997,0.041455440510648055,0.06344212900323042,0.15002512385483935,692.3665591735116,567.8438448710949
0,0,34,simulated_annealing,0.4468243183422022,0.09825298828907997,0.041455440510648055,0.06344212900323042,0.15002512385483935,-70.9044524719211,-72.47424987416889
0,0,35,popularity_rank,0.17562006451555537,0.08698836921046532,0.3135478523945004,0.21807256318097537,0.005771150698503641,767.6265568971139,919.475754478939
0,0,35,oracle,0.17562006451555537,0.08698836921046532,0.3135478523945004,0.21807256318097537,0.005771150698503641,806.3063036280073,860.9329597388423
0,0,35,random_search,0.17562006451555537,0.08698836921046532,0.3135478523945004,0.21807256318097537,0.005771150698503641,395.7239437916578,567.8438448710949
0,0,35,simulated_annealing,0.17562006451555537,0.08698836921046532,0.3135478523945004,0.21807256318097537,0.005771150698503641,-15.793712350357964,-72.47424987416889
0,0,36,popularity_rank,0.33152511889391634,0.11288881123224188,0.10831421763238261,0.11232001342922966,0.13495183881222947,1070.6671398831822,919.475754478939
0,0,36,oracle,0.33152511889391634,0.11288881123224188,0.10831421763238261,0.11232001342922966,0.13495183881222947,958.6876729983269,860.9329597388423
0,0,36,random_search,0.33152511889391634,0.11288881123224188,0.10831421763238261,0.11232001342922966,0.13495183881222947,621.5547637481577,567.8438448710949
0,0,36,simulated_annealing,0.33152511889391634,0.11288881123224188,0.10831421763238261,0.11232001342922966,0.13495183881222947,-64.8768658090703,-72.47424987416889
0,0,37,popularity_rank,0.06877092252627073,0.0142486140267888,0.3181764834943336,0.30528154576196853,0.09352243419063827,799.4754433335693,919.475754478939
0,0,37,oracle,0.06877092252627073,0.0142486140267888,0.3181764834943336,0.30528154576196853,0.09352243419063827,851.3295177959662,860.9329597388423
0,0,37,random_search,0.06877092252627073,0.0142486140267888,0.3181764834943336,0.30528154576196853,0.09352243419063827,531.0670974538953,567.8438448710949
0,0,37,simulated_annealing,0.06877092252627073,0.0142486140267888,0.3181764834943336,0.30528154576196853,0.09352243419063827,-71.25177855358197,-72.47424987416889
0,0,38,popularity_rank,0.06282630567861339,0.1506301188304593,0.03176879281608447,0.12424396839342743,0.4305308142814155,1199.862046575181,919.475754478939
0,0,38,oracle,0.06282630567861339,0.1506301188304593,0.03176879281608447,0.12424396839342743,0.4305308142814155,1005.9086414351768,860.9329597388423
0,0,38,random_search,0.06282630567861339,0.1506301188304593,0.03176879281608447,0.12424396839342743,0.4305308142814155,906.86979800876,567.8438448710949
0,0,38,simulated_annealing,0.06282630567861339,0.1506301188304593,0.03176879281608447,0.12424396839342743,0.4305308142814155,-194.03386151534505,-72.47424987416889
0,0,39,popularity_rank,0.494515928991314,0.19592677566947514,0.01561251188933905,0.019230046815932888,0.074714736633939,1105.9406666173745,919.475754478939
0,0,39,oracle,0.494515928991314,0.19592677566947514,0.01561251188933905,0.019230046815932888,0.074714736633939,951.1574982148741,860.9329597388423
0,0,39,random_search,0.494515928991314,0.19592677566947514,0.01561251188933905,0.019230046815932888,0.074714736633939,553.1467463365989,567.8438448710949
0,0,39,simulated_annealing,0.494515928991314,0.19592677566947514,0.01561251188933905,0.019230046815932888,0.074714736633939,-21.013946900442534,-72.47424987416889
0,0,40,popularity_rank,0.20066870955026,0.11802972302190594,0.161459447697489,0.3162989846808683,0.003543135049476861,702.0968101880353,919.475754478939
0,0,40,oracle,0.20066870955026,0.11802972302190594,0.161459447697489,0.3162989846808683,0.003543135049476861,783.1471699518588,860.9329597388423
0,0,40,random_search,0.20066870955026,0.11802972302190594,0.161459447697489,0.3162989846808683,0.003543135049476861,440.69044786549784,567.8438448710949
0,0,40,simulated_annealing,0.20066870955026,0.11802972302190594,0.161459447697489,0.3162989846808683,0.003543135049476861,-20.13238676605397,-72.47424987416889
0,0,41,popularity_rank,0.037687288213719666,0.35340743175182593,0.014028130556330613,0.2274360208032681,0.16744112867485572,662.9291258679223,919.475754478939
0,0,41,oracle,0.037687288213719666,0.35340743175182593,0.014028130556330613,0.2274360208032681,0.16744112867485572,676.4881105555833,860.9329597388423
0,0,41,random_search,0.037687288213719666,0.35340743175182593,0.014028130556330613,0.2274360208032681,0.16744112867485572,475.4147476619837,567.8438448710949
0,0,41,simulated_annealing,0.037687288213719666,0.35340743175182593,0.014028130556330613,0.2274360208032681,0.16744112867485572,-56.64102107763756,-72.47424987416889
0,0,42,popularity_rank,0.41341896202603723,0.14180163322289943,0.0041668770419917315,0.05578449053910434,0.18482803716996732,1198.1795467484699,919.475754478939
