search_seed,replicate,mc_seed,baseline_revenue,optimized_revenue,diff,rs_revenue,sa_revenue,diff_rs,diff_sa
2,25,1000025,1026574.0949,1042345.9396,15771.8447,1039751.0277,1036823.9169,2594.9119,5522.0227
2,26,1000026,1027544.5125,1043261.7374,15717.2249,1040725.8930,1037798.4990,2535.8444,5463.2385
2,27,1000027,1030310.6289,1046065.0428,15754.4139,1043505.2916,1040561.1007,2559.7513,5503.9422
2,28,1000028,1031936.5005,1047704.2077,15767.7072,1045122.8895,1042166.8672,2581.3182,5537.3405
2,29,1000029,1027375.2763,1043125.8778,15750.6014,1040585.9418,1037647.2068,2539.9360,5478.6709
3,0,1000000,1030251.3003,1045168.9866,14917.6863,1041651.3260,1041679.9730,3517.6606,3489.0136
3,1,1000001,1029829.6858,1044760.9877,14931.3019,1041273.2751,1041315.1964,3487.7125,3445.7913
3,2,1000002,1028655.3877,1043619.3379,14963.9503,1040138.9170,1040166.9043,3480.4209,3452.4337
3,3,1000003,1026160.8872,1041052.6704,14891.7831,1037589.0783,1037624.4836,3463.5920,3428.1868
3,4,1000004,1027609.5291,1042577.4456,14967.9165,1039055.1009,1039103.4571,3522.3447,3473.9885
3,5,1000005,1026960.4493,1041872.1766,14911.7273,1038370.6452,1038417.4631,3501.5314,3454.7136
3,6,1000006,1029037.9274,1043921.6029,14883.6755,1040394.7347,1040449.7026,3526.8681,3471.9002
3,7,1000007,1029353.4805,1044258.8574,14905.3769,1040740.3287,1040789.6526,3518.5287,3469.2048
3,8,1000008,1031743.2567,1046656.7671,14913.5104,1043149.6973,1043179.6290,3507.0697,3477.1381
3,9,1000009,1031577.8318,1046467.6761,14889.8442,1042978.1721,1043025.8212,3489.5040,3441.8549
3,10,1000010,1030826.4140,1045736.9725,14910.5585,1042268.7996,1042292.8403,3468.1729,3444.1322
3,11,1000011,1030820.4158,1045694.8390,14874.4232,1042182.5663,1042229.8358,3512.2727,3465.0032
3,12,1000012,1025577.5806,1040470.7652,14893.1847,1036968.2995,1037011.0136,3502.4657,3459.7516
3,13,1000013,1032616.0743,1047554.1537,14938.0793,1044041.8013,1044082.2505,3512.3523,3471.9032
3,14,1000014,1028007.2935,1042901.4342,14894.1407,1039379.9019,1039423.3474,3521.5323,3478.0868
3,15,1000015,1026914.6226,1041768.0860,14853.4634,1038261.5982,1038301.3788,3506.4877,3466.7072
3,16,1000016,1028950.6087,1043836.7764,14886.1677,1040381.8307,1040418.5683,3454.9457,3418.2081
3,17,1000017,1031942.7357,1046826.4909,14883.7552,1043328.4116,1043363.1568,3498.0793,3463.3340
3,18,1000018,1031085.6288,1045971.4129,14885.7841,1042513.8250,1042557.7288,3457.5879,3413.6841
3,19,1000019,1029896.2402,1044824.8591,14928.6189,1041318.4636,1041374.2246,3506.3955,3450.6345
3,20,1000020,1030522.7061,1045433.6985,14910.9924,1041885.8176,1041928.0076,3547.8809,3505.6910
3,21,1000021,1029935.2785,1044866.0484,14930.7699,1041323.0436,1041365.6813,3543.0048,3500.3671
3,22,1000022,1031880.2991,1046748.8167,14868.5176,1043231.8869,1043281.7530,3516.9298,3467.0636
3,23,1000023,1027341.8705,1042215.9166,14874.0461,1038753.1696,1038804.8400,3462.7470,3411.0767
3,24,1000024,1027873.9960,1042809.9398,14935.9437,1039248.0203,1039268.0572,3561.9194,3541.8826
3,25,1000025,1026574.0949,1041502.5489,14928.4540,1037984.7066,1038032.2831,3517.8422,3470.2658
3,26,1000026,1027544.5125,1042419.3868,14874.8743,1038973.1827,1039011.9666,3446.2041,3407.4202
3,27,1000027,1030310.6289,1045226.6313,14916.0023,1041750.5767,1041797.3424,3476.0545,3429.2889
3,28,1000028,1031936.5005,1046854.0303,14917.5298,1043356.7642,1043404.3470,3497.2661,3449.6833
3,29,1000029,1027375.2763,1042296.0776,14920.8013,1038826.6054,1038875.5739,3469.4722,3420.5038
4,0,1000000,1030251.3003,1045936.1640,15684.8637,1042508.5701,1045235.2371,3427.5939,700.9269
4,1,1000001,1029829.6858,1045525.0893,15695.4035,1042110.5718,1044832.0321,3414.5175,693.0572
4,2,1000002,1028655.3877,1044380.7857,15725.3980,1040966.6585,1043680.0905,3414.1272,700.6953
4,3,1000003,1026160.8872,1041814.3182,15653.4309,1038413.7377,1041115.3949,3400.5804,698.9233
4,4,1000004,1027609.5291,1043303.8458,15694.3167,1039891.2724,1042640.3600,3412.5735,663.4858
4,5,1000005,1026960.4493,1042614.8289,15654.3796,1039210.2539,1041940.7189,3404.5750,674.1100
4,6,1000006,1029037.9274,1044686.8998,15648.9725,1041221.3367,1043984.3802,3465.5632,702.5197
4,7,1000007,1029353.4805,1045031.2458,15677.7653,1041579.6816,1044318.7939,3451.5643,712.4519
4,8,1000008,1031743.2567,1047421.8106,15678.5539,1043983.9479,1046713.6199,3437.8628,708.1907
4,9,1000009,1031577.8318,1047254.7962,15676.9644,1043807.9480,1046533.8053,3446.8482,720.9909
4,10,1000010,1030826.4140,1046516.3687,15689.9546,1043098.5209,1045807.8413,3417.8477,708.5274
4,11,1000011,1030820.4158,1046468.8915,15648.4757,1043016.6409,1045747.8174,3452.2506,721.0741
4,12,1000012,1025577.5806,1041207.9573,15630.3767,1037815.1241,1040542.2524,3392.8331,665.7049
4,13,1000013,1032616.0743,1048326.3025,15710.2281,1044866.4065,1047614.9584,3459.8960,711.3441
4,14,1000014,1028007.2935,1043668.8879,15661.5944,1040220.3661,1042962.6768,3448.5218,706.2111
4,15,1000015,1026914.6226,1042522.0437,15607.4210,1039094.8694,1041832.7314,3427.1743,689.3122
4,16,1000016,1028950.6087,1044589.4223,15638.8136,1041198.7990,1043900.5034,3390.6233,688.9189
4,17,1000017,1031942.7357,1047602.9190,15660.1833,1044163.1542,1046894.7001,3439.7648,708.2189
4,18,1000018,1031085.6288,1046721.8303,15636.2015,1043346.8923,1046042.8534,3374.9380,678.9769
4,19,1000019,1029896.2402,1045603.6409,15707.4007,1042169.8548,1044888.7243,3433.7861,714.9166
4,20,1000020,1030522.7061,1046182.0735,15659.3674,1042731.4279,1045495.9636,3450.6456,686.1099
4,21,1000021,1029935.2785,1045620.9086,15685.6301,1042173.0817,1044932.9663,3447.8269,687.9423
4,22,1000022,1031880.2991,1047515.1766,15634.8776,1044070.1987,1046798.0164,3444.9779,717.1602
4,23,1000023,1027341.8705,1042959.4905,15617.6200,1039587.9074,1042284.0805,3371.5831,675.4100
4,24,1000024,1027873.9960,1043574.3207,15700.3247,1040091.5216,1042872.4284,3482.7991,701.8923
4,25,1000025,1026574.0949,1042268.2056,15694.1107,1038825.7197,1041567.1997,3442.4859,701.0060
4,26,1000026,1027544.5125,1043186.8709,15642.3584,1039799.6224,1042482.6517,3387.2485,704.2192
4,27,1000027,1030310.6289,1045988.1221,15677.4932,1042569.8029,1045288.0388,3418.3192,700.0833
4,28,1000028,1031936.5005,1047628.7241,15692.2236,1044194.7965,1046915.2035,3433.9276,713.5206
4,29,1000029,1027375.2763,1043050.7296,15675.4532,1039663.5746,1042364.3384,3387.1550,686.3912
5,0,1000000,1030251.3003,1046389.2438,16137.9435,1042688.7336,1044785.8007,3700.5103,1603.4431
5,1,1000001,1029829.6858,1045975.2261,16145.5403,1042279.4627,1044378.4512,3695.7633,1596.7749
5,2,1000002,1028655.3877,1044823.0093,16167.6216,1041129.3500,1043236.6535,3693.6593,1586.3558
5,3,1000003,1026160.8872,1042264.5981,16103.7108,1038562.4338,1040671.3782,3702.1643,1593.2198
