layout,replicate,mc_seed,revenue
transferred|random_search|1,2,1000002,787689.6542
transferred|random_search|1,3,1000003,785603.4700
transferred|random_search|1,4,1000004,787082.1790
transferred|random_search|1,5,1000005,786419.5983
transferred|random_search|1,6,1000006,787880.8272
transferred|random_search|1,7,1000007,787670.1132
transferred|random_search|1,8,1000008,789861.0503
transferred|random_search|1,9,1000009,789630.6499
transferred|random_search|1,10,1000010,788792.0047
transferred|random_search|1,11,1000011,788955.5364
transferred|random_search|1,12,1000012,785171.5551
transferred|random_search|1,13,1000013,789894.3738
transferred|random_search|1,14,1000014,787078.5526
transferred|random_search|1,15,1000015,785746.5659
transferred|random_search|1,16,1000016,787403.6202
transferred|random_search|1,17,1000017,789999.0590
transferred|random_search|1,18,1000018,789095.3487
transferred|random_search|1,19,1000019,788654.9072
transferred|random_search|1,20,1000020,789115.8450
transferred|random_search|1,21,1000021,788185.2815
transferred|random_search|1,22,1000022,789542.8887
transferred|random_search|1,23,1000023,786162.9416
transferred|random_search|1,24,1000024,786868.8430
transferred|random_search|1,25,1000025,786095.5990
transferred|random_search|1,26,1000026,786686.8640
transferred|random_search|1,27,1000027,788731.1741
transferred|random_search|1,28,1000028,789485.7265
transferred|random_search|1,29,1000029,786497.4725
hindsight|random_search|1,0,1000000,794646.2853
hindsight|random_search|1,1,1000001,794514.2531
hindsight|random_search|1,2,1000002,793390.6472
hindsight|random_search|1,3,1000003,791292.5517
hindsight|random_search|1,4,1000004,792775.2414
hindsight|random_search|1,5,1000005,792133.2934
hindsight|random_search|1,6,1000006,793584.8838
hindsight|random_search|1,7,1000007,793408.4639
hindsight|random_search|1,8,1000008,795573.2241
hindsight|random_search|1,9,1000009,795313.0014
hindsight|random_search|1,10,1000010,794548.9706
hindsight|random_search|1,11,1000011,794664.8090
hindsight|random_search|1,12,1000012,790848.0443
hindsight|random_search|1,13,1000013,795596.2391
hindsight|random_search|1,14,1000014,792757.0406
hindsight|random_search|1,15,1000015,791502.8104
hindsight|random_search|1,16,1000016,793142.6675
hindsight|random_search|1,17,1000017,795684.4096
hindsight|random_search|1,18,1000018,794834.4412
hindsight|random_search|1,19,1000019,794383.3603
hindsight|random_search|1,20,1000020,794846.8646
hindsight|random_search|1,21,1000021,793926.4547
hindsight|random_search|1,22,1000022,795226.1689
hindsight|random_search|1,23,1000023,791889.3064
hindsight|random_search|1,24,1000024,792568.1258
hindsight|random_search|1,25,1000025,791805.7630
hindsight|random_search|1,26,1000026,792362.2386
hindsight|random_search|1,27,1000027,794422.5739
hindsight|random_search|1,28,1000028,795184.6437
hindsight|random_search|1,29,1000029,792192.7958
transferred|simulated_annealing|1,0,1000000,790406.4892
transferred|simulated_annealing|1,1,1000001,790268.2983
transferred|simulated_annealing|1,2,1000002,789120.6718
transferred|simulated_annealing|1,3,1000003,787045.1533
transferred|simulated_annealing|1,4,1000004,788521.2674
transferred|simulated_annealing|1,5,1000005,787841.5893
transferred|simulated_annealing|1,6,1000006,789307.0448
transferred|simulated_annealing|1,7,1000007,789094.0149
transferred|simulated_annealing|1,8,1000008,791288.3543
transferred|simulated_annealing|1,9,1000009,791043.3195
transferred|simulated_annealing|1,10,1000010,790242.3827
transferred|simulated_annealing|1,11,1000011,790370.5891
transferred|simulated_annealing|1,12,1000012,786580.5957
transferred|simulated_annealing|1,13,1000013,791312.0352
