replicate,n_invoices,n_absent_fixtures,anchor_score,stocked_invoice_share,whole_level_asbuilt,whole_level_ga,whole_level_rs,whole_level_sa,whole_lift,whole_pct_lift,stocked_level_asbuilt,stocked_level_ga,stocked_level_rs,stocked_level_sa,stocked_lift,stocked_pct_lift,whole_ga_minus_rs_gbp,whole_ga_minus_rs_pct,whole_ga_minus_sa_gbp,whole_ga_minus_sa_pct,stocked_ga_minus_rs_gbp,stocked_ga_minus_rs_pct,stocked_ga_minus_sa_gbp,stocked_ga_minus_sa_pct
12,39276,0,0.4363084924,0.792774,797481.078573,813048.133747,810321.055579,808917.733833,15567.055174,1.952028,16866.519304,17195.758509,17138.081509,17108.401616,329.239205,1.952028,2727.078169,0.336543,4130.399914,0.510608,57.677001,0.336543,87.356894,0.510608
13,39336,0,0.4239693200,0.802293,742115.185026,753063.932945,751288.107230,750507.300311,10948.747919,1.475343,17532.937452,17791.608500,17749.653501,17731.206448,258.671048,1.475343,1775.825714,0.236371,2556.632634,0.340654,41.954998,0.236371,60.402052,0.340654
14,39336,0,0.4231195451,0.796243,772596.941505,784044.714417,782340.781175,781027.363162,11447.772911,1.481726,16932.661903,17183.557627,17146.213283,17117.427687,250.895723,1.481726,1703.933241,0.217799,3017.351254,0.386331,37.344343,0.217799,66.129939,0.386331
15,39894,0,0.4392602195,0.801524,741978.217314,755007.359863,753167.007238,751534.440103,13029.142548,1.756001,17499.642791,17806.936638,17763.531707,17725.027420,307.293847,1.756001,1840.352625,0.244349,3472.919759,0.462111,43.404931,0.244349,81.909218,0.462111
16,40446,0,0.4373661275,0.792662,855467.160158,871596.770493,869699.198848,867024.050910,16129.610335,1.885474,17371.777031,17699.317359,17660.783803,17606.460182,327.540328,1.885474,1897.571645,0.218187,4572.719583,0.527404,38.533556,0.218187,92.857176,0.527404
17,41320,0,0.4392902254,0.786229,813709.300604,828340.201931,826235.241410,824344.933383,14630.901326,1.798050,17544.142985,17859.595474,17814.211050,17773.454684,315.452490,1.798050,2104.960521,0.254765,3995.268547,0.484660,45.384425,0.254765,86.140791,0.484660
18,39903,0,0.4371992925,0.802822,739832.219700,753734.948563,751599.701670,749141.390355,13902.728863,1.879173,17506.689742,17835.670766,17785.144303,17726.973150,328.981023,1.879173,2135.246893,0.284094,4593.558208,0.613176,50.526462,0.284094,108.697616,0.613176
19,38188,0,0.4394620113,0.799204,737774.017776,751052.173927,749058.520999,747156.962612,13278.156151,1.799759,16770.063345,17071.884112,17026.567138,16983.343531,301.820767,1.799759,1993.652928,0.266154,3895.211314,0.521338,45.316974,0.266154,88.540581,0.521338
20,39062,0,0.4396281402,0.791434,778091.826264,792422.157617,789866.658783,788043.050461,14330.331353,1.841728,16736.023813,17044.255771,16989.289393,16950.065292,308.231958,1.841728,2555.498834,0.323535,4379.107157,0.555694,54.966378,0.323535,94.190479,0.555694
21,38086,0,0.4249252144,0.793730,800114.140092,811588.307237,810565.578802,808566.164759,11474.167145,1.434066,16779.215088,17019.840155,16998.392490,16956.462724,240.625067,1.434066,1022.728435,0.126175,3022.142478,0.373766,21.447665,0.126175,63.377431,0.373766
